date,open,high,low,close,Adjusted_close,volume,dividend amount
2008-06-30,44.2,44.81,35.72,36.07,25.5167,470457000.0,0.0
2008-05-31,48.86,51.42,41.12,44.23,31.2893,238358800.0,0.0
2008-04-30,48.03,51.55,42.49,48.6,34.3808,295489300.0,0.27
2008-03-31,42.13,51.8,33.56,45.7,32.141,489216800.0,0.0
2008-02-29,48.86,49.45,40.76,42.12,29.6232,325832100.0,0.0
2008-01-31,52.98,53.4,42.57,49.34,34.701,382160500.0,0.27
2007-12-31,51.79,55.39,47.25,53.11,37.1424,329729200.0,0.0
2007-11-30,65.02,65.02,47.56,52.72,36.8696,392256700.0,0.0
2007-10-31,62.6,69.23,60.0,67.26,47.0381,222344300.0,0.27
2007-09-30,62.54,69.87,60.5,63.0,43.8835,207491400.0,0.0
2007-08-31,62.94,66.8,54.9,62.37,43.4446,345192300.0,0.0
2007-07-31,70.94,73.64,61.5,63.87,44.4895,240312700.0,14.52
2007-06-30,85.3,90.95,82.73,83.88,48.5134,190019100.0,0.0
2007-05-31,84.5,87.44,82.51,85.04,49.1843,89771900.0,0.0
2007-04-30,78.84,85.17,77.26,84.01,48.5886,109550200.0,0.27
2007-03-31,72.67,82.0,70.3,78.76,45.3978,190208500.0,0.0
2007-02-28,83.46,84.39,73.04,74.92,43.1844,101179000.0,0.0
2007-01-31,81.93,84.66,79.6,82.79,47.7207,91958100.0,0.27
2006-12-31,76.3,83.4,74.51,81.43,46.782,78998400.0,0.0
2006-11-30,76.6,80.0,73.3,76.16,43.7543,83709800.0,0.0
2006-10-31,72.25,78.2,72.25,76.43,43.9095,78895600.0,0.27
2006-09-30,66.15,73.65,65.26,72.91,41.7365,95916500.0,0.0
2006-08-31,66.0,69.5,63.8,65.79,37.6607,100760100.0,0.0
2006-07-31,63.39,66.66,60.18,66.5,38.0672,85767400.0,0.27
2006-06-30,59.35,63.49,54.52,63.21,36.0285,115983600.0,0.0
2006-05-31,64.65,66.0,57.58,59.62,33.9823,84910800.0,0.0
2006-04-30,62.62,65.79,62.45,64.3,36.6498,72187300.0,0.27
2006-03-31,59.7,64.23,58.41,62.82,35.6528,103760100.0,0.0
2006-02-28,61.1,62.15,59.21,59.66,33.8594,63383200.0,0.0
2006-01-31,57.17,61.91,56.74,61.45,34.8753,93261600.0,0.27
2005-12-31,56.4,58.67,55.89,56.74,32.0568,91064600.0,0.0
2005-11-30,54.1,57.98,51.9,56.03,31.6557,112677500.0,0.0
2005-10-31,53.93,55.08,50.73,54.41,30.7404,102029100.0,0.27
2005-09-30,50.87,54.01,50.61,53.94,30.3173,103545900.0,0.0
2005-08-31,53.16,54.5,50.18,50.87,28.5918,97778500.0,0.0
2005-07-31,52.75,54.61,52.42,53.05,29.8171,93451800.0,0.27
2005-06-30,49.2,53.76,48.61,52.47,29.3429,167708000.0,0.0
2005-05-31,50.31,50.86,47.66,48.96,27.38,158369500.0,0.0
2005-04-30,57.48,60.1,49.77,52.62,29.4268,207843800.0,0.27
2005-03-31,56.47,60.4,53.58,57.25,31.8542,154288400.0,0.0
2005-02-28,56.45,60.51,56.15,56.47,31.4202,88314100.0,0.0
2005-01-31,55.97,56.9,53.53,55.96,31.1364,93525600.0,0.27
2004-12-31,51.0,55.96,51.0,55.52,30.7415,102079800.0,0.0
2004-11-30,51.3,54.0,50.43,50.75,28.1003,90566200.0,0.0
2004-10-31,49.45,52.34,47.27,51.09,28.2886,91058800.0,0.25
2004-09-30,50.77,53.19,48.05,49.3,27.1601,100543100.0,0.0
2004-08-31,48.7,52.1,46.54,50.73,27.948,78685500.0,0.0
2004-07-31,52.65,53.08,46.92,49.33,27.1767,107081200.0,0.25
2004-06-30,53.67,54.74,50.52,52.77,28.9268,82495200.0,0.0
2004-05-31,51.5,54.8,50.22,53.51,29.3325,102956100.0,0.0
2004-04-30,57.48,58.5,51.07,51.39,28.1704,126777200.0,0.25
2004-03-31,60.75,62.83,55.69,57.3,31.2728,113844200.0,0.0
2004-02-29,58.07,62.16,55.92,59.76,32.6154,81538500.0,0.0
2004-01-31,57.89,60.9,56.75,58.21,31.7694,83420400.0,0.25
2003-12-31,55.53,58.78,54.4,57.87,31.4478,74578700.0,0.0
2003-11-30,55.17,58.07,52.54,55.28,30.0404,85832500.0,0.0
2003-10-31,50.8,55.23,50.72,54.87,29.8176,93330300.0,0.23
2003-09-30,48.79,53.1,47.81,50.46,27.3031,120396800.0,0.0
2003-08-31,47.19,49.95,44.78,48.79,26.3995,81762800.0,0.0
2003-07-31,42.64,49.4,42.42,47.44,25.6691,118608200.0,0.23
2003-06-30,46.55,50.49,42.68,42.75,23.0195,129789500.0,0.0
2003-05-31,44.75,46.1,41.78,45.75,24.6349,105023000.0,0.0
2003-04-30,38.68,48.03,38.4,44.75,24.0964,127882300.0,0.23
2003-03-31,37.25,41.73,32.46,38.35,20.5362,133061100.0,0.0
2003-02-28,37.91,38.8,34.32,36.85,19.733,92408500.0,0.0
2003-01-31,40.16,44.39,36.75,37.9,20.2953,101396500.0,0.23
2002-12-31,46.0,46.7,39.39,39.92,21.2603,97055800.0,0.0
2002-11-30,38.6,46.83,37.95,45.24,24.0936,108333100.0,0.0
2002-10-31,34.02,39.41,28.8,38.92,20.7277,151581000.0,0.23
2002-09-30,41.62,43.71,32.7,33.88,17.9223,112682700.0,0.0
